ErrorCodeModelStateValidation,ModelStateMaxLengthEventCode,ModelStateEventNameRqd,ModelStateEventCodeRqd,OnlineMessageStartDateRequired,OnlineMessageEndDateRequired,ScheduleDateGreaterThanCurrent,HeaderRequired,AudienceSourceInCorrect,Please select a date,Please select a tier,Please enter a minimum transaction amount,Please select a certificate to reward,Please enter a point amount to reward,Please enter a threshold amount for all transactions,NegSurveyApp,NegFileExportApprove,SaveWith222CharFileSettingName,ApproveWithoutOfferDate,AddOfferWithoutChannel
ModelStateValidation,Maximum length is 50 character(s).,The EventName field is required.,The EventCode field is required.,OnlineMessageStartDateRequired,OnlineMessageEndDateRequired,ScheduleDateGreaterThanCurrent,HeaderRequired,AudienceSourceInCorrect,Please enter a date,Please select at least one tier,Please enter a minimum transaction amount.,Please select a certificate to reward.,Please enter a point amount to reward.,Please enter a threshold amount for all transactions.,Please complete fields on Offer Configuration tab.,Please complete fields on Offer Distribution tab.,ModelStateValidation,Please complete fields on Basics tab.,OneChannelMandatory
